userid,version,sum_gamerounds,retention_1,retention_7
36921,gate_30,3,0,0
36997,gate_40,9,1,0
37155,gate_40,3,0,0
37303,gate_30,177,1,1
37366,gate_40,11,1,0
37461,gate_40,20,0,1
37740,gate_30,39,1,1
37823,gate_30,12,1,0
37872,gate_30,12,1,0
37994,gate_40,2,0,0
38151,gate_30,9,1,0
38232,gate_30,216,1,1
38249,gate_40,30,1,0
38292,gate_30,9,0,0
39069,gate_30,227,0,0
39382,gate_30,0,0,0
39494,gate_30,87,1,0
39531,gate_30,71,1,0
39774,gate_40,567,1,1
39902,gate_40,13,1,0
39932,gate_30,55,1,1
39993,gate_40,14,0,0
40233,gate_40,78,1,0
40292,gate_30,1,0,0
40359,gate_30,3,0,0
40378,gate_30,552,1,1
40427,gate_30,96,1,0
40566,gate_30,2,0,0
40593,gate_30,12,1,1
40630,gate_40,99,1,0
40653,gate_30,107,1,0
40687,gate_30,12,0,0
40749,gate_40,2,0,0
40812,gate_40,2,0,0
41112,gate_30,4,0,0
41192,gate_30,28,0,0
41378,gate_40,9,0,0
41795,gate_30,136,1,1
41842,gate_40,15,0,0
41934,gate_40,8,0,0
41988,gate_40,1,0,0
42077,gate_30,12,1,0
42316,gate_30,6,0,0
42407,gate_30,45,0,1
42457,gate_30,12,0,0
42688,gate_40,13,0,0
42703,gate_30,9,1,0
42758,gate_40,11,1,0
42994,gate_40,113,1,1
43091,gate_30,6,1,0
43368,gate_40,32,0,0
43644,gate_30,17,1,0
43744,gate_30,141,1,0
43757,gate_30,28,0,0
44400,gate_40,95,1,0
44493,gate_40,339,1,1
44498,gate_30,24,1,0
44591,gate_30,5,0,0
44670,gate_30,6,0,0
44751,gate_30,10,0,0
44780,gate_30,9,0,0
44910,gate_40,6,0,0
45066,gate_30,85,1,0
45083,gate_40,54,0,0
45167,gate_30,19,0,0
45694,gate_40,6,1,0
45698,gate_30,452,1,1
45753,gate_30,26,1,0
45813,gate_40,12,1,0
45895,gate_40,2,1,0
45896,gate_40,11,1,0
45952,gate_40,3,0,0
46007,gate_30,6,0,0
46022,gate_40,7,0,0
46347,gate_30,57,0,0
46472,gate_40,16,0,0
46576,gate_30,15,0,0
46624,gate_40,148,1,1
46629,gate_40,57,1,0
46746,gate_40,3,1,0
46806,gate_30,163,1,1
46919,gate_40,47,1,0
46938,gate_30,54,0,0
47377,gate_40,2,0,0
47816,gate_30,220,1,1
47822,gate_40,63,1,1
47990,gate_40,25,1,0
48016,gate_30,0,0,0
48116,gate_30,1,0,0
48130,gate_30,2,0,0
48201,gate_40,84,1,1
48631,gate_40,60,0,0
48658,gate_30,216,1,1
48677,gate_40,17,1,0
48942,gate_30,290,1,1
48990,gate_40,3,0,0
49147,gate_40,24,1,0
49311,gate_40,5,0,0
49330,gate_30,18,0,0
49373,gate_30,5,0,0
49600,gate_30,20,0,0
49811,gate_40,9,1,0
49995,gate_40,15,1,0
50011,gate_40,4,0,0
50158,gate_40,87,1,1
50237,gate_40,86,1,0
50339,gate_40,0,0,0
50386,gate_40,4,0,0
50547,gate_30,356,0,0
50665,gate_30,10,1,0
50686,gate_40,3,0,1
50688,gate_30,0,0,0
50794,gate_40,0,0,0
50811,gate_30,3,0,0
50850,gate_30,34,1,1
51155,gate_30,34,0,0
51267,gate_30,0,0,0
51295,gate_30,117,1,1
51310,gate_30,23,0,1
51430,gate_30,34,1,0
51636,gate_40,8,0,0
51641,gate_40,20,1,0
51823,gate_40,54,1,1
51894,gate_30,4,0,0
51970,gate_40,76,0,1
52100,gate_40,55,1,0
52177,gate_40,3,0,0
52271,gate_40,2,0,0
52357,gate_30,22,1,0
52420,gate_30,15,1,1
52636,gate_40,3,0,0
53149,gate_40,4,0,0
53373,gate_40,298,1,1
53393,gate_30,338,1,1
53450,gate_40,1,0,0
53464,gate_40,12,0,0
53470,gate_40,7,0,0
53597,gate_40,5,0,0
53638,gate_30,16,0,0
53763,gate_30,9,1,0
53935,gate_40,4,0,0
53996,gate_40,115,1,1
54069,gate_30,170,1,1
54162,gate_30,174,1,1
54178,gate_30,21,0,0
54244,gate_40,4,0,0
54256,gate_40,6,0,0
54403,gate_30,6,0,0
54580,gate_30,22,0,0
54617,gate_40,12,0,0
54680,gate_40,2,0,0
54681,gate_40,2,0,0
54754,gate_30,70,1,0
54776,gate_30,0,0,0
54975,gate_30,3,0,0
55139,gate_30,25,0,0
55213,gate_40,141,1,1
55250,gate_40,47,1,1
55480,gate_30,1,0,0
55621,gate_30,32,0,0
56116,gate_40,3,0,0
56237,gate_40,10,0,0
56269,gate_30,2,0,0
56294,gate_40,2,1,0
56446,gate_30,15,0,0
56496,gate_40,543,1,1
56522,gate_30,10,0,0
56587,gate_40,54,1,0
56815,gate_30,202,1,1
56895,gate_40,2,0,0
56997,gate_40,41,0,0
57149,gate_30,15,0,0
57321,gate_30,54,0,0
57334,gate_40,5,1,0
57339,gate_40,22,1,0
57369,gate_40,399,1,1
57401,gate_30,13,1,0
57429,gate_40,29,1,0
57516,gate_30,38,1,1
57833,gate_40,0,0,0
58180,gate_40,19,1,0
58189,gate_30,23,0,0
58289,gate_30,237,1,1
58394,gate_40,25,1,0
58592,gate_40,85,1,0
58700,gate_30,0,0,0
58768,gate_30,11,0,0
58813,gate_40,1,0,0
59164,gate_30,7,1,0
59395,gate_30,33,1,1
59531,gate_30,18,0,0
60035,gate_40,14,0,0
60103,gate_40,18,0,0
60160,gate_40,11,1,0
60410,gate_40,26,1,0
60424,gate_30,6,0,0
60619,gate_40,65,1,0
60929,gate_40,16,1,0
60956,gate_40,17,0,0
60984,gate_30,139,0,1
61104,gate_30,0,0,0
61245,gate_30,24,1,0
61462,gate_30,23,0,0
61563,gate_30,7,0,0
61595,gate_40,29,0,0
61609,gate_30,4,0,0
61651,gate_30,3,0,0
61952,gate_30,19,0,0
61979,gate_30,2,0,0
62084,gate_30,12,0,0
62145,gate_40,1,0,0
62206,gate_30,0,0,0
62434,gate_30,6,0,0
62437,gate_40,5,0,0
62566,gate_40,67,1,0
62700,gate_40,36,1,1
62704,gate_40,2,0,0
62879,gate_30,1,0,0
63001,gate_40,33,1,0
63335,gate_30,9,1,0
63370,gate_30,179,1,1
63473,gate_30,1,0,0
63478,gate_30,202,1,1
63480,gate_30,9,1,0
63555,gate_40,43,0,0
63617,gate_30,902,1,1
63766,gate_30,6,0,0
63786,gate_40,22,0,0
63832,gate_30,1,0,0
63889,gate_30,9,1,1
63962,gate_30,4,1,0
64052,gate_30,1,0,0
64224,gate_40,15,0,1
64235,gate_30,1,0,0
64309,gate_40,125,1,0
64643,gate_40,24,0,0
64646,gate_40,1,0,1
64792,gate_30,269,1,0
64849,gate_40,31,1,0
64930,gate_30,510,1,0
64944,gate_40,62,0,0
65032,gate_40,5,0,0
65452,gate_30,16,0,0
65482,gate_40,10,0,0
65511,gate_30,4,0,0
66120,gate_40,28,0,0
66509,gate_30,46,1,0
66677,gate_40,1,0,0
66713,gate_40,4,0,0
66947,gate_40,13,1,0
67078,gate_30,9,0,0
67122,gate_30,18,0,0
67190,gate_40,15,0,0
67193,gate_40,1,0,0
67234,gate_30,3,0,0
67387,gate_30,12,0,0
67654,gate_40,8,0,0
67829,gate_40,0,0,0
67910,gate_40,18,1,0
67950,gate_30,7,0,0
68020,gate_40,52,0,1
68112,gate_30,0,0,0
68151,gate_40,136,1,0
68386,gate_30,5,0,0
68394,gate_40,474,1,1
68406,gate_40,5,0,0
68485,gate_30,26,1,0
68698,gate_40,83,1,0
68856,gate_30,1,0,0
68887,gate_40,1,0,0
68915,gate_40,121,0,0
68965,gate_40,105,1,1
69027,gate_40,2,0,0
69050,gate_30,20,1,0
69392,gate_30,46,0,0
69488,gate_30,5,0,0
69649,gate_40,80,1,1
69870,gate_40,210,1,1
69917,gate_40,16,1,0
69927,gate_30,1906,1,1
69998,gate_30,16,0,0
70074,gate_30,0,0,0
70127,gate_30,1,0,0
70175,gate_40,35,1,1
70294,gate_40,199,1,0
70522,gate_40,6,0,0
70570,gate_30,5,0,0
70899,gate_40,3,0,0
71062,gate_30,25,1,0
71119,gate_30,118,1,1
71161,gate_40,68,1,0
71165,gate_40,105,1,0
71205,gate_30,5,0,0
71235,gate_30,38,1,0
71326,gate_40,8,0,0
71489,gate_30,7,0,0
71635,gate_30,4,0,0
71698,gate_30,6,0,0
71777,gate_40,12,0,0
72085,gate_40,103,1,0
72164,gate_30,259,1,1
72353,gate_40,5,0,0
72419,gate_40,12,1,0
72470,gate_40,6,1,0
72555,gate_30,298,1,1
72614,gate_40,3,0,0
72661,gate_40,1,0,0
72752,gate_40,15,0,0
72813,gate_30,6,1,0
72872,gate_30,10,0,0
72918,gate_40,13,0,0
72977,gate_40,12,1,0
73378,gate_40,34,1,0
73412,gate_30,3,0,0
73868,gate_40,2,0,0
74231,gate_30,7,0,0
74276,gate_30,24,1,1
74369,gate_40,7,0,0
74377,gate_30,53,1,0
74422,gate_40,38,0,1
74568,gate_30,11,1,0
75029,gate_40,98,1,0
75734,gate_40,4,0,0
76062,gate_30,5,0,0
76089,gate_40,3,0,0
76133,gate_30,50,0,0
76549,gate_30,149,0,1
76573,gate_30,20,1,0
76598,gate_30,1,0,0
76662,gate_40,30,1,0
76767,gate_40,4,0,0
76784,gate_40,53,1,0
76895,gate_40,5,0,0
76917,gate_30,113,1,0
76934,gate_40,2,0,0
77151,gate_40,2,0,0
77172,gate_30,0,0,0
77195,gate_40,25,1,0
77468,gate_30,12,0,0
77495,gate_40,59,0,0
77644,gate_30,15,0,0
77731,gate_30,106,1,1
77812,gate_40,2,0,0
77821,gate_40,7,0,0
77837,gate_40,6,0,0
77850,gate_30,59,1,0
78089,gate_30,47,0,0
78142,gate_40,1,0,0
78183,gate_30,34,1,0
78237,gate_30,4,0,0
78312,gate_30,12,0,0
78409,gate_30,15,1,0
78563,gate_40,32,0,0
78846,gate_30,0,0,0
78900,gate_30,2,0,0
79646,gate_40,34,1,0
79890,gate_30,11,0,0
79929,gate_40,16,0,0
80215,gate_40,2,0,0
80282,gate_30,128,1,1
80485,gate_40,9,0,0
80496,gate_40,0,0,0
80526,gate_30,34,0,1
80582,gate_40,7,0,0
80618,gate_40,7,0,0
80634,gate_40,215,1,1
80746,gate_30,1,0,0
80754,gate_40,0,0,0
80860,gate_40,231,1,0
80884,gate_30,5,0,0
80900,gate_40,16,0,0
81447,gate_30,34,0,0
81480,gate_40,2,0,0
81524,gate_30,34,1,0
81532,gate_30,2,0,0
81668,gate_40,12,0,0
81959,gate_40,6,0,0
82064,gate_30,41,1,0
82545,gate_40,36,0,0
82655,gate_40,13,0,0
82753,gate_30,3,0,0
82783,gate_40,36,1,1
82937,gate_40,28,0,0
83072,gate_30,11,1,0
83080,gate_40,12,0,0
83103,gate_30,7,0,0
83140,gate_40,14,0,0
83254,gate_30,3,1,0
83309,gate_40,0,0,0
83317,gate_40,5,0,0
83438,gate_40,129,1,1
83732,gate_40,95,0,1
83798,gate_40,96,1,0
84100,gate_30,160,1,0
84191,gate_30,0,0,0
84208,gate_40,17,0,0
84406,gate_40,24,1,0
84816,gate_40,11,1,0
84929,gate_40,6,0,0
84961,gate_40,26,0,0
85007,gate_40,110,1,1
85277,gate_30,61,1,1
85560,gate_30,5,0,0
85601,gate_30,15,0,0
85805,gate_40,3,0,0
86342,gate_30,12,0,0
86781,gate_40,1,0,0
86821,gate_40,65,1,0
87098,gate_40,2,0,0
87220,gate_40,18,0,0
87258,gate_40,275,1,1
87276,gate_30,19,0,1
87410,gate_30,26,0,0
87419,gate_30,46,0,0
87509,gate_40,3,0,0
87542,gate_30,40,1,0
87640,gate_40,13,0,0
87649,gate_40,8,0,0
87671,gate_40,2,0,0
87697,gate_40,3,0,0
87728,gate_40,4,0,0
87827,gate_30,37,1,0
88235,gate_40,11,0,0
88282,gate_30,22,1,0
88361,gate_40,55,0,1
88392,gate_30,20,1,0
88497,gate_30,197,1,1
88521,gate_40,44,0,0
88907,gate_30,133,1,0
89272,gate_40,0,0,0
89605,gate_40,2,0,0
89618,gate_30,21,0,0
90120,gate_30,2,0,0
90233,gate_30,5,0,0
90335,gate_40,2,0,0
90481,gate_40,14,0,0
90566,gate_30,0,0,0
90640,gate_30,44,0,1
90744,gate_30,14,0,0
90755,gate_30,76,1,0
90892,gate_30,52,1,0
90916,gate_40,88,1,1
90979,gate_30,36,1,0
90992,gate_40,66,1,0
91010,gate_40,70,0,0
91027,gate_30,2,0,0
91045,gate_40,44,0,0
92061,gate_40,98,1,0
92161,gate_30,18,0,0
92162,gate_30,9,0,0
92168,gate_40,6,0,0
92286,gate_30,3,1,0
92463,gate_40,2,0,0
92638,gate_40,54,0,0
92789,gate_40,4,0,0
92914,gate_40,13,0,1
93014,gate_30,0,0,0
93131,gate_40,8,0,0
93166,gate_30,10,1,0
93241,gate_30,18,0,0
93289,gate_40,0,0,0
93646,gate_30,33,0,0
93914,gate_40,9,0,0
93957,gate_30,6,0,1
93997,gate_30,2,0,0
94159,gate_30,79,1,1
94282,gate_40,9,0,0
94407,gate_30,1,0,0
94455,gate_40,35,1,1
94639,gate_30,4,0,0
94768,gate_30,9,0,0
94904,gate_30,43,1,0
95033,gate_30,42,1,0
95357,gate_40,6,1,1
95371,gate_30,282,1,1
95530,gate_30,11,0,0
95696,gate_40,42,0,1
95946,gate_30,16,0,0
96038,gate_40,132,0,1
96058,gate_30,49,1,1
96076,gate_30,95,1,1
96123,gate_40,3,0,0
96471,gate_30,183,1,0
96535,gate_40,24,0,0
96561,gate_40,112,1,1
96675,gate_30,70,1,1
96744,gate_30,332,1,1
96745,gate_40,100,1,1
97019,gate_30,3,0,0
97308,gate_30,798,1,1
97461,gate_40,4,0,0
97741,gate_30,0,0,0
97754,gate_30,27,1,0
97777,gate_40,41,1,0
97849,gate_30,81,1,1
97873,gate_40,49,1,0
97971,gate_30,142,1,1
98151,gate_30,31,0,0
98229,gate_30,5,1,0
98354,gate_40,35,0,0
98592,gate_40,4,0,0
98833,gate_30,3,0,0
98955,gate_30,16,0,0
99178,gate_30,12,0,0
99252,gate_40,48,1,0
99264,gate_30,8,1,0
99307,gate_40,6,1,0
99411,gate_40,13,0,0
99583,gate_40,35,1,0
99630,gate_30,4,0,0
99631,gate_40,9,1,0
99806,gate_30,7,1,0
99912,gate_40,27,1,0
99928,gate_40,83,1,0
99944,gate_40,3,0,0
99976,gate_30,3,0,0
100026,gate_40,3,0,0
100084,gate_30,143,0,1
100151,gate_40,39,1,1
100214,gate_40,114,1,1
100367,gate_30,71,1,0
100511,gate_30,13,0,0
100556,gate_40,63,1,1
100585,gate_30,75,1,0
100807,gate_30,27,1,0
100899,gate_40,15,0,0
100933,gate_30,8,0,0
101024,gate_40,17,1,0
101041,gate_30,95,1,0
101248,gate_40,6,0,0
101591,gate_30,186,1,1
101601,gate_30,50,1,0
101664,gate_30,129,1,0
101675,gate_40,1,0,0
101697,gate_40,4,1,0
101864,gate_40,30,0,0
101880,gate_30,1,0,0
101884,gate_40,3,0,0
101915,gate_30,164,1,1
101953,gate_40,1,1,0
101961,gate_40,9,0,0
102182,gate_40,6,0,0
102302,gate_40,78,0,1
102540,gate_30,249,1,1
102573,gate_40,34,0,0
102598,gate_30,29,1,0
102742,gate_40,18,1,0
102748,gate_40,4,0,0
102753,gate_30,14,0,0
102931,gate_30,2,0,0
102977,gate_30,8,0,1
103095,gate_40,47,1,0
103308,gate_40,3,0,0
103414,gate_30,345,1,0
103463,gate_40,1,0,0
103498,gate_30,50,1,1
103555,gate_30,13,0,0
103557,gate_40,57,1,0
103625,gate_30,7,0,0
103714,gate_30,13,1,0
103804,gate_30,27,0,0
104157,gate_40,59,1,0
104158,gate_40,16,1,1
104211,gate_30,51,0,0
104553,gate_30,4,0,0
104563,gate_40,7,0,0
104577,gate_30,546,1,1
104592,gate_40,45,0,0
104686,gate_30,28,1,0
104694,gate_30,82,0,1
104796,gate_30,394,1,1
104800,gate_30,5,0,0
104899,gate_40,227,1,1
104999,gate_40,258,0,1
105277,gate_30,56,1,0
105342,gate_40,0,0,0
105632,gate_40,52,0,0
105700,gate_30,8,0,0
105948,gate_30,0,0,0
106093,gate_30,5,0,0
106422,gate_40,8,0,0
106423,gate_30,1,0,0
106447,gate_30,19,1,0
106487,gate_30,11,0,0
106523,gate_40,6,0,0
106600,gate_30,375,1,1
106828,gate_30,9,0,0
106895,gate_30,4,0,0
107040,gate_40,57,1,0
107169,gate_40,2,0,0
107563,gate_30,39,0,0
107617,gate_30,8,0,0
107662,gate_30,1,0,0
107670,gate_30,7,0,0
107936,gate_40,2,0,0
107981,gate_30,51,1,0
108052,gate_40,4,0,0
108068,gate_30,0,0,0
108134,gate_30,54,0,1
108287,gate_30,10,0,0
108303,gate_40,11,0,0
108320,gate_40,3,0,0
108454,gate_30,35,0,1
108535,gate_40,39,0,0
108608,gate_30,7,0,0
108668,gate_40,19,1,0
108753,gate_40,3,1,0
109109,gate_30,7,0,0
109111,gate_40,6,1,0
109151,gate_40,109,1,0
109158,gate_40,106,1,0
109300,gate_40,0,0,0
109366,gate_40,158,1,1
109431,gate_30,60,1,0
109458,gate_40,0,0,0
109556,gate_30,13,1,0
109578,gate_30,35,0,0
109745,gate_40,7,0,0
109757,gate_30,29,1,1
109796,gate_40,0,0,0
